GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,ImagemUtils,14,34,0,0,3,10,1,2,1,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,TextoUtils,11,79,2,8,2,16,4,11,2,8
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,MaquinaTempo,0,23,0,2,0,9,0,7,0,6
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,DataHoraUtils,48,705,18,54,13,157,22,68,5,49
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,CpfCnpjUtils,8,262,13,37,3,33,14,14,1,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,TiposDeTeste,3,0,0,0,1,0,1,0,1,0
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,DinheiroUtils,59,119,25,17,8,23,20,14,5,8
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,NumeroUtils,6,100,7,15,1,26,8,11,1,7
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,CpfUtils,9,110,3,7,3,20,4,3,1,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,Sessao,29,61,0,0,8,17,4,9,4,9
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.utilitarios,Criptografia,15,139,2,4,4,17,3,4,1,3
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,ResultadoListagemClassificacaoInstituicaoDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,EspecificacaoPesquisaInstituicaoDTO,0,7,0,0,0,3,0,2,0,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,ClassificacaoInstituicaoDTO,37,9,12,0,14,4,7,2,1,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,TipoInstituicaoDTO,37,9,12,0,13,4,7,2,1,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,ResultadoListagemTipoInstituicaoDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,ResultadoEdicaoInstituicaoDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,InstituicaoDTO,127,114,22,0,21,45,13,27,2,27
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.instituicao,ResultadoListagemInstituicaoDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.pendencia,PendenciaDTO,34,0,2,0,11,0,7,0,6,0
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.pendencia,ResultadoListagemPendenciaDTO,3,0,0,0,1,0,1,0,1,0
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,PerfilDTO,45,34,12,0,17,13,9,6,3,6
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,GrupoContaAcessoBloqueadoDTO,21,5,0,0,4,2,2,1,2,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoListagemPermissaoDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoListagemGruposBloqueadosDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,PermissaoDTO,37,9,12,0,13,4,7,2,1,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoListagemPerfilDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoAutenticacaoDTO,0,12,0,0,0,5,0,3,0,3
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoListagemUsuariosBloqueadosDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoEdicaoPerfilDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoDesativacaoFiltroGrupoDTO,9,0,0,0,4,0,2,0,2,0
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,CredencialExternaDTO,28,15,0,0,7,6,4,3,4,3
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoAlteracaoExtensaoRelatorioDTO,0,9,0,0,0,4,0,2,0,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultaodAlteracaoExtensaoRelatorioDTO,26,0,0,0,6,0,3,0,3,0
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ContaAcessoBloqueadoDTO,0,15,0,0,0,6,0,3,0,3
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoListagemContaAcessoDTO,0,3,0,0,0,1,0,1,0,1
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoEdicaoContaAcessoDTO,8,0,0,0,3,0,2,0,2,0
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoCoordenacaoEdicaoDTO,0,16,0,0,0,4,0,2,0,2
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,TokenDTO,35,14,11,1,13,6,7,3,1,3
Biblioteca de componentes compartilhados do SisLara,br.laramara.ti.sislaracommons.dtos.seguranca,ResultadoOperacaoFiltroGrupoDTO,6,0,0,0,3,0,2,0,2,0
